Sentence,Label
ඔවුන් ගමනක නතරවිය.,Incorrect
අපි ආහාර සකසා ගත්තෙමු.,Correct
ඔහු පාසලට ගියා.,Incorrect
අපි ගමට ගියෙයමු.,Correct
මම පොතක් කියවයි.,Incorrect
ඔහු පාසලට ගියා.,Incorrect
ඇය ගෙදරට ආවා.,Correct
ඇය පොතක් උගන්වමින් සිටියෙය.,Incorrect
ඔහු පාසලට ගියා.,Incorrect
ඇය පොතක් උගන්වමින් සිටියා.,Correct
අපි ගමට ගියෙය.,Incorrect
ඔහු පාසලට ගියෙය.,Correct
අපි ගමට ගියෙයමු.,Correct
මම පොතක් කියවමි.,Correct
අපි ගමට ගියෙය.,Incorrect
මම පොතක් කියවයි.,Incorrect
අපි ආහාර සකසා ගත්තෙමු.,Correct
මගේ මිතුරා කාමරයේ සිටියා.,Incorrect
අපි ගමට ගියෙය.,Incorrect
ඔහු පාසලට ගියා.,Incorrect
අපි ගමට ගියෙය.,Incorrect
මම පොතක් කියවයි.,Incorrect
අපි ගමට ගියෙය.,Incorrect
අපි වත්තෙ කටයුත්තක් කරා.,Incorrect
අපි වත්තෙ කටයුත්තක් කරා.,Incorrect
ඔවුන් ගමක නතර විය.,Correct
ඔහු පාසලට ගියා.,Incorrect
අපි ගමට ගියෙයමු.,Correct
අපි ආහාර සකසා ගත්තෙමු.,Correct
මම පොතක් කියවමි.,Correct
අපි ගමට ගියෙයමු.,Correct
ඔහු පාසලට ගියා.,Incorrect
අපි ගමට ගියෙය.,Incorrect
අපි ගමට ගියෙය.,Incorrect
අපි ගමට ගියෙය.,Incorrect
ඇය ගෙදරට යනව.,Incorrect
මම පොතක් කියවයි.,Incorrect
ඔවුන් ගමක නතර විය.,Correct
අපි ගමට ගියෙයමු.,Correct
අපි ගමට ගියෙය.,Incorrect
මගේ මිතුරා කාමරයේ සිටියේය.,Correct
අපි ගමට ගියෙය.,Incorrect
ඔහු පාසලට ගියා.,Incorrect
මම පොතක් කියවයි.,Incorrect
මගේ මිතුරා කාමරයේ සිටියා.,Incorrect
මගේ මිතුරා කාමරයේ සිටියේය.,Correct
මම පොතක් කියවයි.,Incorrect
ඇය පොතක් උගන්වමින් සිටියෙය.,Incorrect
ඇය ගෙදරට ආවා.,Correct
අපි වත්තෙ කටයුත්තක් කළා.,Correct
ඔවුන් ගමනක නතරවිය.,Incorrect
මගේ මිතුරා කාමරයේ සිටියේය.,Correct
ඇය ගෙදරට ආවා.,Correct
ඇය ගෙදරට යනව.,Incorrect
මගේ මිතුරා කාමරයේ සිටියේය.,Correct
ඇය ගෙදරට ආවා.,Correct
මගේ මිතුරා කාමරයේ සිටියා.,Incorrect
